,rcdts,total_incidents
6432,060160970022001,0.0
126,041012050252024,402.0
944,150162990252149,59.0
2477,470980060262003,34.0
6847,120170030262002,0.0
3610,070161480022002,3.0
6054,010750100262010,13.0
6638,070161500022001,0.0
7095,150162990252314,2.0
1584,190222040262020,12.0
4365,150162990252968,161.0
3879,130581000261001,0.0
2425,450670050261001,32.0
3337,050160650042022,9.0
7967,310450460222027,6.0
8046,310453000262023,198.0
4031,150162990252241,22.0
4956,310450460222044,20.0
2387,440630470041005,74.0
7437,170530740272001,4.0
2495,480721500251009,19.0
6330,050160640041007,1.0
4854,280061150021001,56.0
8776,510840050262003,5.0
2914,15016299025263C,10.0
4694,200760010262002,16.0
1435,190220330022004,0.0
7433,170530080262001,0.0
76,030680030261002,92.0
9009,560992020222014,12.0
6341,050160650042009,0.0
4585,190220890042002,1.0
1686,240320740032001,0.0
916,150162990252107,25.0
4460,170640050262017,44.0
2046,340490060022007,63.0
5914,560990860052011,60.0
9037,56099365U262012,37.0
4133,150162990252387,0.0
1304,160194280261010,338.0
6515,07016113A022002,2.0
7685,190222040262017,0.0
7456,170540920042001,0.0
4079,150162990252313,20.0
3343,050160680022001,1.0
7994,310451010222009,0.0
8443,410570080262003,0.0
3120,041011340042001,5.0
5003,310451310222016,41.0
2115,340490730041001,0.0
3201,050160230021002,67.0
6550,070161270022004,0.0
4696,200830010262002,15.0
4993,310451310222006,5.0
8404,400560060261001,12.0
470,070161040021001,0.0
6625,070161480022005,53.0
619,070161520022002,320.0
4191,15016299025246C,45.0
6309,050160590042018,1.0
5900,56099070C042001,16.0
4290,150162990252823,74.0
5543,470712200262006,102.0
3865,130410790022001,0.0
8478,440630020031001,12.0
1767,280061150022005,0.0
1654,210440430032001,0.0
7359,150162990252934,12.0
3292,050160590042003,0.0
9014,560992020222019,4.0
1751,260621700261002,12.0
1657,210610010261001,26.0
5216,340490760022003,1.0
7745,210280910042001,1.0
237,050160370022003,3.0
1135,150162990252455,29.0
6668,070161590022002,12.0
3353,050160735021003,20.0
8360,390550030262005,0.0
6730,080891450221002,747.0
1896,310451290222014,79.0
8682,490810410252016,2.0
8031,310453000262001,4.0
4888,300390950022005,25.0
1513,190221800042002,51.0
4554,190220580022003,3.0
3912,150162990252066,51.0
4708,200960140042001,0.0
7768,211000010262002,83.0
5137,340490060022008,22.0
5055,310453040262004,7.0
2139,340490960041003,1.0
6392,060160870022007,1.0
6883,130410820022001,0.0
2796,560990860052005,0.0
3724,080892000262001,0.0
4265,15016299025273C,12.0
1879,310451010222003,1.0
3379,060160870022003,2.0
9002,560992020222007,36.0
1029,150162990252288,59.0
6931,15016299025206C,0.0
4584,190220890042001,4.0
7484,170640160261001,23.0
4656,190222040262006,8.0
3649,070161580021004,127.0
6227,050160260022003,2.0
4271,150162990252768,6.0
6430,060160970021003,0.0
163,050160150042001,6.0
8061,310453030261012,79.0
931,150162990252130,8.0
2217,350501410022004,19.0
7254,150162990252617,2.0
7968,310450460222028,10.0
653,070161620022001,3.0
1556,190222030262012,1.0
7732,200961120042002,0.0
7774,211000020262005,9.0
2506,480721500252039,87.0
692,080431190221001,2.0
5597,480721500252032,70.0
8216,340490670052001,0.0
2079,340490560022002,1.0
2825,560991220022010,3.0
1111,150162990252412,37.0
3662,070161610022001,2.0
5801,530900500022001,8.0
8564,470522750262003,0.0
1547,190222030261012,29.0
251,050160540042003,2.0
8979,560991610022003,0.0
8950,560990910021001,91.0
5284,340492200262004,0.0
3980,150162990252161,90.0
1542,190222010262002,7.0
4194,150162990252475,7.0
6304,050160590042006,0.0
6008,56099365U262008,23.0
3232,050160340041007,2.0
2541,490810370022008,49.0
689,080083140261001,98.0
2723,530901080022010,0.0
6960,150162990252109,0.0
8318,350500175042001,5.0
5380,400560020262005,6.0
5709,500821180022007,79.0
3372,060160840022004,0.0
6956,150162990252104,0.0
4887,300390950022003,37.0
1798,300390950022003,73.0
628,070161545022001,0.0
6868,130140600022001,0.0
8133,330482100262003,0.0
4518,190220330022002,3.0
7413,160194280262014,120.0
1177,150162990252516,2.0
341,050160730022001,2.0
7773,211000020262004,4.0
1847,310450460222016,35.0
7137,150162990252373,9.0
8361,390550030262006,0.0
7988,310450460222056,6.0
5989,560992020222019,12.0
1049,150162990252321,18.0
1115,150162990252417,122.0
2573,490813000262003,2.0
5773,510841860252013,0.0
6127,041011310042002,2.0
7794,24032072C042001,0.0
8363,390550090262001,1.0
7541,190220330022007,2.0
5036,310453020262009,0.0
7995,310451010222010,1.0
7393,160194240262004,1.0
310,050160640042004,10.0
7605,190220890042004,10.0
8585,470980020262005,2.0
573,070161435022010,0.0
3340,050160670021002,36.0
133,041012050252041,7.0
6449,060160990022005,11.0
4571,190220630021001,3.0
8746,500821870262005,77.0
1518,190221810042004,4.0
370,060160870022008,24.0
1736,260290660252003,6.0
2237,350785350262006,4.0
3851,130140210022001,0.0
8733,500821180022007,1.0
1258,150162990252918,11.0
3732,090100030262003,39.0
201,050160250022016,3.0
1658,210610010262001,3.0
7617,190221810041002,11.0
2199,350500020262002,0.0
1836,310450460221009,286.0
7382,150162990252970,33.0
8822,530601890262001,6.0
4122,150162990252373,28.0
8432,410570070262003,6.0
1778,280372270262001,11.0
1993,320460530022002,0.0
8067,310453030262008,1.0
4127,150162990252381,20.0
431,060160990022013,4.0
5074,320460010261002,20.0
4040,150162990252255,35.0
4451,170640050262007,1.0
7079,15016299025228C,116.0
2429,450790010221002,15.0
6360,050160700022003,15.0
1207,150162990252783,2.0
3908,150162990252058,12.0
5571,470980060262002,1.0
4177,150162990252454,2.0
3892,130950010042001,0.0
7585,190220610021004,0.0
6285,050160540042022,6.0
2287,400560060261001,11.0
874,130950150042001,11.0
5488,440630470042007,1.0
8105,320460530022002,0.0
2531,480723270262004,9.0
4640,190222030262012,0.0
6557,070161280022006,0.0
